Environmental Brain Cube Suitability Log

=== RUN1 START ===
runLabel,millis,elapsedSec,lightMin,lightMax,lightState,bmeTempMin,bmeTempMax,bmeHumMin,bmeHumMax,bmePresMin,bmePresMax,dsTempMin,dsTempMax,battMin,battMax,solarMin,solarMax,axMin,axMax,ayMin,ayMax,azMin,azMax,gxMin,gxMax,gyMin,gyMax,gzMin,gzMax,tempWarn,humWarn,presWarn
RUN3,121152,112.55,4038,4077,BRIGHT,23.01,23.01,44.48,44.53,1008.05,1008.07,20.56,20.62,5.65,5.88,4.91,4.93,0.261,0.383,-0.752,-0.682,8.859,9.027,0.65,0.95,0.91,1.20,-1.87,-1.50,0,0,0
RUN3,123184,114.58,4043,4075,BRIGHT,23.01,23.01,44.49,44.53,1008.07,1008.10,20.56,20.56,5.66,5.88,4.90,4.94,0.254,0.376,-0.759,-0.661,8.871,9.051,0.73,1.05,0.79,1.18,-1.79,-1.44,0,0,0
RUN3,125193,116.59,4047,4065,BRIGHT,23.00,23.01,44.54,44.59,1008.08,1008.12,20.56,20.56,5.65,5.87,4.93,4.93,0.235,0.369,-0.747,-0.656,8.847,9.080,0.72,1.09,0.84,1.20,-1.72,-1.47,0,0,0
RUN3,127196,118.60,4048,4078,BRIGHT,22.99,23.00,44.58,44.65,1008.09,1008.11,20.56,20.56,5.65,5.87,4.90,4.93,0.242,0.335,-0.768,-0.677,8.943,9.082,0.69,1.05,0.85,1.21,-1.82,-1.43,0,0,0
RUN3,129226,120.63,4037,4076,BRIGHT,22.98,22.99,44.63,44.73,1008.09,1008.11,20.56,20.56,5.65,5.88,4.90,4.92,0.268,0.393,-0.802,-0.646,8.890,9.075,0.73,1.17,0.70,1.18,-1.79,-1.43,0,0,0
RUN3,131257,122.66,4011,4077,BRIGHT,22.97,22.99,44.63,44.73,1008.08,1008.12,20.56,20.56,5.65,5.87,4.90,4.93,0.247,0.381,-0.768,-0.680,8.871,9.075,0.64,1.09,0.80,1.25,-1.79,-1.41,0,0,0
RUN3,133289,124.69,4016,4077,BRIGHT,22.96,22.97,44.37,44.61,1008.07,1008.11,20.56,20.56,5.65,5.88,4.89,4.93,0.235,0.366,-0.749,-0.649,8.871,9.072,0.60,1.09,0.85,1.19,-1.83,-1.44,0,0,0
RUN3,135320,126.72,4027,4074,BRIGHT,22.94,22.95,44.47,44.51,1008.06,1008.11,20.56,20.56,5.64,5.87,4.89,4.93,0.247,0.361,-0.790,-0.649,8.898,9.089,0.65,1.08,0.90,1.17,-1.84,-1.43,0,0,0
RUN3,137325,128.73,4025,4067,BRIGHT,22.93,22.94,44.50,44.52,1008.10,1008.11,20.56,20.56,5.64,5.87,4.90,4.92,0.266,0.369,-0.771,-0.673,8.881,9.039,0.73,1.12,0.86,1.19,-1.79,-1.37,0,0,0
RUN3,139356,130.76,4031,4076,BRIGHT,22.93,22.94,44.45,44.50,1008.09,1008.13,20.56,20.56,5.65,5.87,4.89,4.93,0.247,0.383,-0.771,-0.656,8.843,9.077,0.45,1.12,0.86,1.16,-1.84,-1.42,0,0,0
RUN3,141388,132.79,4015,4075,BRIGHT,22.93,22.93,44.44,44.45,1008.09,1008.11,20.56,20.56,5.64,5.87,4.89,4.92,0.227,0.357,-0.768,-0.646,8.869,9.022,0.69,1.15,0.89,1.18,-1.76,-1.47,0,0,0
